"header.old","header.new","functions.in","functions.out"
"Alldect","all.dectections","batz.plotactivity_observations; batz.plotdetections_first.last",""
"ARU.serial","aru.serial","","batz.generate_arumeta.eventlog"
"aru_serial_number","aru.serial","batz.generate_arumeta.eventlog",""
"auto.kp","autoid.kp","batz.merge_vetted.acoustics2","batz.merge_vetted.acoustics2"
"auto.sb","autoid.sb","batz.merge_vetted.acoustics2","batz.merge_vetted.acoustics2"
"Bat Species","common_name","","batz.batusa_list.species"
"common_one","common_name","batz.treeusa_recode.names","batz.treeusa_recode.names"
"common_two","common_name2","batz.treeusa_recode.names","batz.treeusa_recode.names"
"date_of_deployment","date.deployment","batz.generate_arumeta.eventlog",""
"date_of_habitat_assessment","date_habitat.assessment","batz.generate_arumeta.eventlog",""
"Federal","listing.status_federal","","batz.batusa_list.species"
"hobo_sensor_serial_number","sensor_serial","batz.generate_arumeta.eventlog",""
"mic_serial_number","microphone.serial","batz.generate_arumeta.eventlog",""
"mon.ngh","date.monitoringnight","batz.merge_vetted.acoustics2","batz.merge_vetted.acoustics2"
"monitoringnight","date.monitoringnight","batz.merge_vetted.acoustics",""
"monnight.date","date.monitoringnight","batz.plotactivity_heatmap","batz.plotactivity_daily.count"
"new_aru_serial_number","new_aru_serial","batz.generate_arumeta.eventlog",""
"new_mic_serial_number","new_mic_serial","batz.generate_arumeta.eventlog",""
"obs","observations_count","batz.plotactivity_observations; batz.plotdetections_first.last","batz.generate_plotframe.bat; batz.merge_temp.logger; batz.plotactivity_daily.count"
"overide.value","override.value","","batz.generate_plotopts"
"plot.sets","plot.set","batz.plotactivity_observations",""
"power_kit_solar_serial_number","solar_serial","batz.generate_arumeta.eventlog",""
"project_code","","batz.generate_arumeta.eventlog",""
"records","records.count","","batz.merge_sm4.logfile"
"schedual1","schedule1","batz.generate_suntimes.arulist; batz.plotactivity_observations; batz.plotdetections_first.last",""
"schedual2","schedule2","batz.generate_suntimes.arulist; batz.plotactivity_observations; batz.plotdetections_first.last",""
"serial_number_of_detector","aru.serial","batz.generate_arumeta.eventlog",""
"serial_number_of_microphone","microphone.serial","batz.generate_arumeta.eventlog",""
"site_name","site_label","batz.generate_arumeta.eventlog",""
"species","Species_Latin_Name","batz.treeusa_recode.names","batz.treeusa_recode.names"
"sunr","sunrise","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"sunr.mon","sunrise_monitoring.night","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"sunr.mon.unix","sunrise_monitoring.night.unix","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"sunr.unix","sunrise.unix","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"suns","sunset","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"suns.unix","sunset.unix","batz.plotdetections_first.last","batz.generate_suntimes.arulist"
"vertical_microphone_orientation","microphone_orientation.vertical","batz.plotcover_bullseye",""
"X","longitude","","batz.merge_sm4.logfile"
"x","longitude","batz.generate_arumeta.eventlog",""
"Y","latitude","","batz.merge_sm4.logfile"
"y","latitude","batz.generate_arumeta.eventlog",""
